Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Create and Delete Data,,,,13-02-2024 16:08:17,13-02-2024 16:08:35,17.612s,PASSED
,,,,,,,
Test Cases/Create Booking,,,,13-02-2024 16:08:18,13-02-2024 16:08:31,13.052s,PASSED
"response = sendRequest(findTestObject(""Token""))",,,,13-02-2024 16:08:19,13-02-2024 16:08:25,5.899s,PASSED
"token = getElementPropertyValue(response, ""token"")",,,,13-02-2024 16:08:25,13-02-2024 16:08:26,0.678s,PASSED
"createBooking = sendRequest(findTestObject(""Object Repository/Post Booking - Create Data""))",,,,13-02-2024 16:08:26,13-02-2024 16:08:27,1.412s,PASSED
bookingId = 0,,,,13-02-2024 16:08:27,13-02-2024 16:08:27,0.025s,PASSED
"if (verifyResponseStatusCode(createBooking, 200))",,,,13-02-2024 16:08:27,13-02-2024 16:08:27,0.157s,PASSED
"GetDatabyId = sendRequest(findTestObject(""Object Repository/Get By IdBooking"", [""id"":bookingId]))",,,,13-02-2024 16:08:27,13-02-2024 16:08:29,1.340s,PASSED
"println(""booking idnya = "" + bookingId)",,,,13-02-2024 16:08:29,13-02-2024 16:08:29,0.031s,PASSED
bookingId = bookingId,,,,13-02-2024 16:08:29,13-02-2024 16:08:29,0.003s,PASSED
Video,,,,13-02-2024 16:08:31,13-02-2024 16:08:31,0.001s,PASSED
,,,,,,,
Test Cases/Delete Booking,,,,13-02-2024 16:08:31,13-02-2024 16:08:35,4.141s,PASSED
"println(""ini tokennya "" + token)",,,,13-02-2024 16:08:31,13-02-2024 16:08:31,0.028s,PASSED
"println(""ini idbookingnya "" + bookingId)",,,,13-02-2024 16:08:31,13-02-2024 16:08:31,0.019s,PASSED
"deleteBooking = sendRequest(findTestObject(""Object Repository/Delete Booking"", [""id"":bookingId]))",,,,13-02-2024 16:08:31,13-02-2024 16:08:33,1.872s,PASSED
"verifyResponseStatusCode(deleteBooking, 201)",,,,13-02-2024 16:08:33,13-02-2024 16:08:33,0.004s,PASSED
Video,,,,13-02-2024 16:08:35,13-02-2024 16:08:35,0.002s,PASSED
